Series_Title,Released_Year,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes
Just Mercy,2019,7.6,68,Destin Daniel Cretton,Michael B. Jordan,46739
Kis Uykusu,2014,8.1,88,Nuri Bilge Ceylan,Haluk Bilginer,46547
Darbareye Elly,2009,8,87,Asghar Farhadi,Golshifteh Farahani,45803
Adams æbler,2005,7.8,51,Anders Thomas Jensen,Ulrich Thomsen,45717
Dip huet seung hung,1989,7.8,82,John Woo,Yun-Fat Chow,45624
Kelly's Heroes,1970,7.6,50,Brian G. Hutton,Clint Eastwood,45338
Cat on a Hot Tin Roof,1958,8,84,Richard Brooks,Elizabeth Taylor,45062
Le passé,2013,7.8,85,Asghar Farhadi,Bérénice Bejo,45002
The Man Who Would Be King,1975,7.8,91,John Huston,Sean Connery,44917
Invasion of the Body Snatchers,1956,7.7,92,Don Siegel,Kevin McCarthy,44839
No Man's Land,2001,7.9,84,Danis Tanovic,Branko Djuric,44618
Stagecoach,1939,7.8,93,John Ford,John Wayne,43621
Bride of Frankenstein,1935,7.8,95,James Whale,Boris Karloff,43542
From Here to Eternity,1953,7.6,85,Fred Zinnemann,Burt Lancaster,43374
Cowboy Bebop: Tengoku no tobira,2001,7.9,61,Shin'ichirô Watanabe,Tensai Okamura,42897
Lilja 4-ever,2002,7.8,82,Lukas Moodysson,Oksana Akinshina,42673
The Last Picture Show,1971,8,93,Peter Bogdanovich,Timothy Bottoms,42456
Vozvrashchenie,2003,8,82,Andrey Zvyagintsev,Vladimir Garin,42399
La double vie de Véronique,1991,7.8,86,Krzysztof Kieslowski,Irène Jacob,42376
Paper Moon,1973,8.1,77,Peter Bogdanovich,Ryan O'Neal,42285
Short Cuts,1993,7.7,79,Robert Altman,Andie MacDowell,42275
Freaks,1932,7.9,80,Tod Browning,Wallace Ford,42117
Seppuku,1962,8.6,85,Masaki Kobayashi,Tatsuya Nakadai,42004
Bir Zamanlar Anadolu'da,2011,7.9,82,Nuri Bilge Ceylan,Muhammet Uzuner,41995
Miracle on 34th Street,1947,7.9,88,George Seaton,Edmund Gwenn,41625
The Visitor,2007,7.6,79,Tom McCarthy,Richard Jenkins,41544
In America,2002,7.7,76,Jim Sheridan,Paddy Considine,40403
Withnail & I,1987,7.7,84,Bruce Robinson,Richard E. Grant,40396
Mandariinid,2013,8.2,73,Zaza Urushadze,Lembit Ulfsak,40382
A Hard Day's Night,1964,7.6,96,Richard Lester,John Lennon,40351
East of Eden,1955,7.9,72,Elia Kazan,James Dean,40313
Le locataire,1976,7.7,71,Roman Polanski,Roman Polanski,39889
Guess Who's Coming to Dinner,1967,7.8,63,Stanley Kramer,Spencer Tracy,39642
Fiddler on the Roof,1971,8,67,Norman Jewison,Topol,39491
The Broken Circle Breakdown,2012,7.7,70,Felix van Groeningen,Veerle Baetens,39379
Ôkami kodomo no Ame to Yuki,2012,8.1,71,Mamoru Hosoda,Aoi Miyazaki,38803
Kaguyahime no monogatari,2013,8,89,Isao Takahata,Chloë Grace Moretz,38746
Le charme discret de la bourgeoisie,1972,7.9,93,Luis Buñuel,Fernando Rey,38737
Hævnen,2010,7.6,65,Susanne Bier,Mikael Persbrandt,38491
Taegukgi hwinalrimyeo,2004,8.1,64,Je-kyu Kang,Jang Dong-Gun,37820
Jules et Jim,1962,7.8,97,François Truffaut,Jeanne Moreau,37605
Secrets & Lies,1996,8,91,Mike Leigh,Timothy Spall,37564
Togo,2019,8,69,Ericson Core,Willem Dafoe,37556
The Day of the Jackal,1973,7.8,80,Fred Zinnemann,Edward Fox,37445
Le dîner de cons,1998,7.7,73,Francis Veber,Thierry Lhermitte,37424
La montaña sagrada,1973,7.9,76,Alejandro Jodorowsky,Alejandro Jodorowsky,37183
Central do Brasil,1998,8,80,Walter Salles,Fernanda Montenegro,36419
The Verdict,1982,7.7,77,Sidney Lumet,Paul Newman,36096
Love and Death,1975,7.7,89,Woody Allen,Woody Allen,36037
Zulu,1964,7.7,77,Cy Endfield,Stanley Baker,35999
Mustang,2015,7.6,83,Deniz Gamze Ergüven,Günes Sensoy,35785
Ondskan,2003,7.8,61,Mikael Håfström,Andreas Wilson,35682
Brief Encounter,1945,8,92,David Lean,Celia Johnson,35601
Under sandet,2015,7.8,75,Martin Zandvliet,Roland Møller,35539
Naked,1993,7.8,84,Mike Leigh,David Thewlis,34635
Giant,1956,7.6,84,George Stevens,Elizabeth Taylor,34075
Druk,2020,7.8,81,Thomas Vinterberg,Mads Mikkelsen,33931
Watership Down,1978,7.6,64,Martin Rosen,John Hubley,33656
Il postino,1994,7.7,81,Michael Radford,Massimo Troisi,33600
The Muppet Movie,1979,7.6,74,James Frawley,Jim Henson,32802
Omoide no Mânî,2014,7.7,72,James Simone,Hiromasa Yonebayashi,32798
Kai po che!,2013,7.7,40,Abhishek Kapoor,Amit Sadh,32628
A Little Princess,1995,7.7,83,Alfonso Cuarón,Liesel Matthews,32236
Kagemusha,1980,8,84,Akira Kurosawa,Tatsuya Nakadai,32195
Efter brylluppet,2006,7.7,78,Susanne Bier,Mads Mikkelsen,32001
Hedwig and the Angry Inch,2001,7.7,85,John Cameron Mitchell,John Cameron Mitchell,31957
Gully Boy,2019,8,65,Zoya Akhtar,Vijay Varma,31886
The Secret of Kells,2009,7.6,81,Tomm Moore,Nora Twomey,31779
Tôkyô goddofâzâzu,2003,7.8,73,Satoshi Kon,Shôgo Furuya,31658
Once Were Warriors,1994,7.9,77,Lee Tamahori,Rena Owen,31590
The Odd Couple,1968,7.7,86,Gene Saks,Jack Lemmon,31572
Ace in the Hole,1951,8.1,72,Billy Wilder,Kirk Douglas,31568
C.R.A.Z.Y.,2005,7.9,81,Jean-Marc Vallée,Michel Côté,31476
A Man for All Seasons,1966,7.7,72,Fred Zinnemann,Paul Scofield,31222
Au revoir les enfants,1987,8,88,Louis Malle,Gaspard Manesse,31163
Auf der anderen Seite,2007,7.8,85,Fatih Akin,Baki Davrak,30827
The Invisible Man,1933,7.7,87,James Whale,Claude Rains,30683
The Circus,1928,8.1,90,Charles Chaplin,Charles Chaplin,30205
Giù la testa,1971,7.6,77,Sergio Leone,Rod Steiger,30144
To Be or Not to Be,1942,8.2,86,Ernst Lubitsch,Carole Lombard,29915
Nelyubov,2017,7.6,86,Andrey Zvyagintsev,Maryana Spivak,29765
Vampire Hunter D: Bloodlust,2000,7.7,62,Yoshiaki Kawajiri,Andrew Philpot,29210
Bound by Honor,1993,8,47,Taylor Hackford,Damian Chapa,28825
Du rififi chez les hommes,1955,8.2,97,Jules Dassin,Jean Servais,28810
The Shop Around the Corner,1940,8.1,96,Ernst Lubitsch,Margaret Sullavan,28450
All That Jazz,1979,7.9,72,Bob Fosse,Roy Scheider,28223
Sweet Smell of Success,1957,8,100,Alexander Mackendrick,Burt Lancaster,28137
Joyeux Noël,2005,7.7,70,Christian Carion,Diane Kruger,28003
Wait Until Dark,1967,7.8,81,Terence Young,Audrey Hepburn,27733
On Golden Pond,1981,7.6,68,Mark Rydell,Katharine Hepburn,27650
Les yeux sans visage,1960,7.7,90,Georges Franju,Pierre Brasseur,27620
Inherit the Wind,1960,8.1,75,Stanley Kramer,Spencer Tracy,27254
Sound of Metal,2019,7.8,81,Darius Marder,Riz Ahmed,27187
Omohide poro poro,1991,7.6,90,Isao Takahata,Miki Imai,27071
Il conformista,1970,8,100,Bernardo Bertolucci,Jean-Louis Trintignant,27067
Rupan sansei: Kariosutoro no shiro,1979,7.7,71,Hayao Miyazaki,Yasuo Yamada,27014
The Innocents,1961,7.8,88,Jack Clayton,Deborah Kerr,27007
The Taking of Pelham One Two Three,1974,7.7,68,Joseph Sargent,Walter Matthau,26729
The Thin Man,1934,8,86,W.S. Van Dyke,William Powell,26642
Gongdong gyeongbi guyeok JSA,2000,7.8,58,Chan-wook Park,Lee Yeong-ae,26518
Lifeboat,1944,7.6,78,Alfred Hitchcock,Tallulah Bankhead,26471
The Ladykillers,1955,7.7,91,Alexander Mackendrick,Alec Guinness,26464
Cape Fear,1962,7.7,76,J. Lee Thompson,Gregory Peck,26457
Do lok tin si,1995,7.7,71,Kar-Wai Wong,Leon Lai,26429
The Long Goodbye,1973,7.6,87,Robert Altman,Elliott Gould,26337
The Magdalene Sisters,2002,7.7,83,Peter Mullan,Eileen Walsh,25938
Scarface: The Shame of the Nation,1932,7.8,87,Howard Hawks,Richard Rosson,25312
La planète sauvage,1973,7.8,73,René Laloux,Barry Bostwick,25229
God's Own Country,2017,7.7,85,Francis Lee,Josh O'Connor,25198
