Series_Title,Released_Year,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes
Dead Poets Society,1989,8.1,79,Peter Weir,Robin Williams,425457
The Girl with the Dragon Tattoo,2011,7.8,71,David Fincher,Daniel Craig,423010
Captain Phillips,2013,7.8,82,Paul Greengrass,Tom Hanks,421244
Spotlight,2015,8.1,93,Tom McCarthy,Mark Ruffalo,420316
Crash,2004,7.7,66,Paul Haggis,Don Cheadle,419483
Mystic River,2003,7.9,84,Clint Eastwood,Sean Penn,419420
Beauty and the Beast,1991,8,95,Gary Trousdale,Kirk Wise,417178
Big Fish,2003,8,58,Tim Burton,Ewan McGregor,415218
Lost in Translation,2003,7.7,89,Sofia Coppola,Bill Murray,415074
Dawn of the Planet of the Apes,2014,7.6,79,Matt Reeves,Gary Oldman,411599
Big Hero 6,2014,7.8,74,Don Hall,Chris Williams,410983
Tangled,2010,7.7,71,Nathan Greno,Byron Howard,405922
It's a Wonderful Life,1946,8.6,89,Frank Capra,James Stewart,405801
The Theory of Everything,2014,7.7,72,James Marsh,Eddie Redmayne,404182
Citizen Kane,1941,8.3,100,Orson Welles,Orson Welles,403351
The Last Samurai,2003,7.7,55,Edward Zwick,Tom Cruise,400049
The Princess Bride,1987,8,77,Rob Reiner,Cary Elwes,393899
American Gangster,2007,7.8,76,Ridley Scott,Denzel Washington,392449
In Bruges,2008,7.9,67,Martin McDonagh,Colin Farrell,390334
Training Day,2001,7.7,69,Antoine Fuqua,Denzel Washington,390247
Midnight in Paris,2011,7.7,81,Woody Allen,Owen Wilson,388089
Coco,2017,8.4,81,Lee Unkrich,Adrian Molina,384171
Platoon,1986,8.1,92,Oliver Stone,Charlie Sheen,381222
Wreck-It Ralph,2012,7.7,72,Rich Moore,John C. Reilly,380195
Saw,2004,7.6,46,James Wan,Cary Elwes,379020
Green Book,2018,8.2,69,Peter Farrelly,Viggo Mortensen,377884
28 Days Later...,2002,7.6,73,Danny Boyle,Cillian Murphy,376853
Unforgiven,1992,8.2,85,Clint Eastwood,Clint Eastwood,375935
Spider-Man: Into the Spider-Verse,2018,8.4,87,Bob Persichetti,Peter Ramsey,375110
Aladdin,1992,8,86,Ron Clements,John Musker,373845
E.T. the Extra-Terrestrial,1982,7.8,91,Steven Spielberg,Henry Thomas,372490
Room,2015,8.1,86,Lenny Abrahamson,Brie Larson,371538
Predator,1987,7.8,45,John McTiernan,Arnold Schwarzenegger,371387
The Wizard of Oz,1939,8,92,Victor Fleming,George Cukor,371379
Sicario,2015,7.6,82,Denis Villeneuve,Emily Blunt,371291
The Thing,1982,8.1,57,John Carpenter,Kurt Russell,371271
Moneyball,2011,7.6,87,Bennett Miller,Brad Pitt,369529
Amadeus,1984,8.3,88,Milos Forman,F. Murray Abraham,369007
Life of Brian,1979,8.1,77,Terry Jones,Graham Chapman,367250
Die Hard: With a Vengeance,1995,7.6,58,John McTiernan,Bruce Willis,364420
Vertigo,1958,8.3,100,Alfred Hitchcock,James Stewart,364368
Black Hawk Down,2001,7.7,74,Ridley Scott,Josh Hartnett,364254
Stand by Me,1986,8.1,75,Rob Reiner,Wil Wheaton,363401
The Big Short,2015,7.8,81,Adam McKay,Christian Bale,362942
The Exorcist,1973,8,81,William Friedkin,Ellen Burstyn,362393
The Godfather: Part III,1990,7.6,60,Francis Ford Coppola,Al Pacino,359809
The Lives of Others,2006,8.4,89,Florian Henckel von Donnersmarck,Ulrich Mühe,358685
The Machinist,2004,7.7,61,Brad Anderson,Christian Bale,358432
The Breakfast Club,1985,7.8,66,John Hughes,Emilio Estevez,357026
Ghostbusters,1984,7.8,71,Ivan Reitman,Bill Murray,355413
The Illusionist,2006,7.6,68,Neil Burger,Edward Norton,354728
The Game,1997,7.8,61,David Fincher,Michael Douglas,345096
3 Idiots,2009,8.4,67,Rajkumar Hirani,Aamir Khan,344445
The Fault in Our Stars,2014,7.7,69,Josh Boone,Shailene Woodley,344312
Mononoke-hime,1997,8.4,76,Hayao Miyazaki,Yôji Matsuda,343171
The Fighter,2010,7.8,79,David O. Russell,Mark Wahlberg,340584
Inside Man,2006,7.6,76,Spike Lee,Denzel Washington,339757
The Others,2001,7.6,74,Alejandro Amenábar,Nicole Kidman,337651
Boyhood,2014,7.9,100,Richard Linklater,Ellar Coltrane,335533
Moon,2009,7.9,67,Duncan Jones,Sam Rockwell,335152
Hotel Rwanda,2004,8.1,79,Terry George,Don Cheadle,334320
A Star Is Born,2018,7.6,88,Bradley Cooper,Lady Gaga,334312
Hauru no ugoku shiro,2004,8.2,80,Hayao Miyazaki,Chieko Baishô,333915
Der Untergang,2004,8.2,82,Oliver Hirschbiegel,Bruno Ganz,331308
Man on Fire,2004,7.7,47,Tony Scott,Denzel Washington,329592
The Irishman,2019,7.9,94,Martin Scorsese,Robert De Niro,324720
The Lego Movie,2014,7.7,83,Christopher Miller,Phil Lord,323982
Brokeback Mountain,2005,7.7,87,Ang Lee,Jake Gyllenhaal,323103
Mulholland Dr.,2001,7.9,85,David Lynch,Naomi Watts,322031
Raging Bull,1980,8.2,89,Martin Scorsese,Robert De Niro,321860
Ferris Bueller's Day Off,1986,7.8,61,John Hughes,Matthew Broderick,321382
Moonrise Kingdom,2012,7.8,84,Wes Anderson,Jared Gilman,318789
Shichinin no samurai,1954,8.6,98,Akira Kurosawa,Toshirô Mifune,315744
50/50,2011,7.6,72,Jonathan Levine,Joseph Gordon-Levitt,315426
Being John Malkovich,1999,7.7,90,Spike Jonze,John Cusack,312542
True Grit,2010,7.6,80,Ethan Coen,Joel Coen,311822
The Deer Hunter,1978,8.1,86,Michael Cimino,Robert De Niro,311361
How to Train Your Dragon 2,2014,7.8,76,Dean DeBlois,Jay Baruchel,305611
About Time,2013,7.8,55,Richard Curtis,Domhnall Gleeson,303032
Once Upon a Time in the West,1968,8.5,80,Sergio Leone,Henry Fonda,302844
The Nightmare Before Christmas,1993,8,82,Henry Selick,Danny Elfman,300208
Lucky Number Slevin,2006,7.7,53,Paul McGuigan,Josh Hartnett,299524
North by Northwest,1959,8.3,98,Alfred Hitchcock,Cary Grant,299198
Jojo Rabbit,2019,7.9,58,Taika Waititi,Roman Griffin Davis,297918
Chinatown,1974,8.1,92,Roman Polanski,Jack Nicholson,294230
Lord of War,2005,7.6,62,Andrew Niccol,Nicolas Cage,294140
To Kill a Mockingbird,1962,8.2,88,Robert Mulligan,Gregory Peck,293811
The Blind Side,2009,7.6,53,John Lee Hancock,Quinton Aaron,293266
